train_size,test_size,epochs,learn_rate,batch,accuracy
5000,1000,10,3.0,15,0.795
5000,1000,10,3.0,13,0.803
5000,1000,30,0.5,10,0.853
5000,1000,30,1.0,10,0.864
5000,1000,30,1.5,10,0.882
5000,1000,30,2.0,10,0.885
5000,1000,30,2.5,10,0.89
5000,1000,30,3.0,10,0.867
5000,1000,30,3.5,10,0.889
50000,10000,30,0.5,10,0.9269
50000,10000,30,1.0,10,0.9257
50000,10000,30,1.5,10,0.928
50000,10000,30,2.0,10,0.9255
50000,10000,30,2.5,10,0.9186
50000,10000,30,3.0,10,0.925
50000,10000,30,3.5,10,0.9107
5000,1000,30,0.25,10,0.826
5000,1000,30,0.75,10,0.859
5000,1000,30,1.25,10,0.884
5000,1000,30,1.75,10,0.885
5000,1000,30,2.25,10,0.875
5000,1000,30,2.75,10,0.893
5000,1000,30,3.25,10,0.878
5000,1000,30,3.75,10,0.895
5000,1000,30,0.25,10,0.8
5000,1000,30,0.75,10,0.871
5000,1000,30,1.25,10,0.867
5000,1000,30,1.75,10,0.879
5000,1000,30,2.25,10,0.889
5000,1000,30,2.75,10,0.882
5000,1000,30,3.25,10,0.882
5000,1000,30,3.75,10,0.887
5000,1000,30,0.25,10,0.782
5000,1000,30,0.75,10,0.855
5000,1000,30,1.25,10,0.864
5000,1000,30,1.75,10,0.883
5000,1000,30,2.25,10,0.885
5000,1000,30,2.75,10,0.894
5000,1000,30,3.25,10,0.876
5000,1000,30,3.75,10,0.892
5000,1000,30,0.25,15,0.088
5000,1000,30,0.75,15,0.835
5000,1000,30,1.25,15,0.845
5000,1000,30,1.75,15,0.872
5000,1000,30,2.25,15,0.88
5000,1000,30,2.75,15,0.88
5000,1000,30,3.25,15,0.871
5000,1000,30,3.75,15,0.888
5000,1000,30,0.25,15,0.645
5000,1000,30,0.5,15,0.676
5000,1000,30,0.75,15,0.696
5000,1000,30,1.0,15,0.686
5000,1000,30,1.25,15,0.872
5000,1000,30,1.5,15,0.888
5000,1000,30,1.75,15,0.884
5000,1000,30,2.0,15,0.886
5000,1000,30,2.25,15,0.887
5000,1000,30,2.5,15,0.9
5000,1000,30,2.75,15,0.889
5000,1000,30,3.0,15,0.876
5000,1000,30,3.25,15,0.897
5000,1000,30,3.5,15,0.898
5000,1000,30,3.75,15,0.888
5000,1000,30,4.0,15,0.893
5000,1000,30,4.25,15,0.899
5000,1000,30,4.5,15,0.905
5000,1000,30,4.75,15,0.902
5000,1000,30,5.0,15,0.885
5000,1000,50,0.25,15,0.816
5000,1000,50,0.5,15,0.855
5000,1000,50,0.75,15,0.864
5000,1000,50,1.0,15,0.886
5000,1000,50,1.25,15,0.89
5000,1000,50,1.5,15,0.878
5000,1000,50,1.75,15,0.868
5000,1000,50,2.0,15,0.892
5000,1000,50,2.25,15,0.879
5000,1000,50,2.5,15,0.899
5000,1000,50,2.75,15,0.891
5000,1000,50,3.0,15,0.881
5000,1000,50,3.25,15,0.89
5000,1000,50,3.5,15,0.889
5000,1000,50,3.75,15,0.901
5000,1000,50,4.0,15,0.879
5000,1000,50,4.25,15,0.884
5000,1000,50,4.5,15,0.872
5000,1000,50,4.75,15,0.87
5000,1000,50,5.0,15,0.876
5000,1000,50,1.0,20,0.755
5000,1000,50,1.25,20,0.792
5000,1000,50,1.5,20,0.801
5000,1000,50,1.75,20,0.877
5000,1000,50,2.0,20,0.884
5000,1000,50,2.25,20,0.885
5000,1000,50,2.5,20,0.878
5000,1000,50,2.75,20,0.893
5000,1000,50,3.0,20,0.894
5000,1000,50,3.25,20,0.888
5000,1000,50,3.5,20,0.903
5000,1000,50,3.75,20,0.902
5000,1000,50,4.0,20,0.888
5000,1000,50,4.25,20,0.9
5000,1000,50,4.5,20,0.893
5000,1000,50,4.75,20,0.901
5000,1000,50,5.0,20,0.889
50000,10000,50,3.0,20,0.9081
